Regulator Name	Regulator Type	Regulator Subtype	Regulator HGNC Symbol	Regulator Database	Regulator ID	Regulator Compartment	Regulator Compartment ID	Regulated Name	Regulated Type	Regulated Subtype	Regulated HGNC Symbol	Regulated Database	Regulated ID	Regulated Compartment	Regulated Compartment ID	Sign	Connection Type	Mechanism	Site	Cell Line	Cell Type	Tissue Type	Organism	Score	Source	Statements	Paper IDs	
IGF-IR	Protein				P08069			sorafenib	Chemical			pubchem	216239			positive	I	NONE		cellosaurus:CVCL_0326 ++++ atcc:HB-8065						Enhancer of zeste 2 polycomb repressive complex 2 subunit ( EZH2 ) is a regulator of promoted IGF-IR induced sorafenib resistance of HCC in vitro by directly transcriptionally repressing a set of microRNAs including miR-101 , miR-122 , miR-125b , and miR-139 [ 74-76 ] .	PMC9048543	
Kv1.3	Protein				P22001			Ca	Chemical			pubchem	271			negative	I	NONE								Prior studies have indicated that hypoxia is associated with alterations in Kv1.3 potassium channel activity that impair CD3 ζ-mediated Ca signaling [ 25 ] , and that IL-2 signaling might also be impaired [ 26 ] .	PMC6562712	
CD38	Protein				P28907			Ca	Chemical			pubchem	271			positive	I	NONE			cl:CL:0000623 ++++ cl:CL:0000084 ++++ cl:CL:0000988 ++++ cl:CL:0000236		uberon:UBERON:0000014			CD38 , a transmembrane glycoprotein , is known to mediate cell adhesion , signal transduction , and Ca regulation ( 63 ) .	PMC9814974	
catalase	Protein				P04040			hydrogen peroxide	Chemical			pubchem	784			negative	I	NONE			cl:CL:0000084					To increase the protection of infused CAR-T cells from ROS inflicted oxidative stress , the coexpression of the hydrogen peroxide reducing enzyme catalase , for example , leads to improved proliferative and cytotoxic profiles in CAR-T cells [ 241 ] .	PMC9454442	
FPP	Protein				P35548			Nitrogen	Chemical			pubchem	947			negative	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063		uberon:UBERON:4300023			Nitrogen containing bisphosphonates ( N-bis ) such as pamidronate ( Pam ) and zoledronate acid ( ZOL ) , which are used to treat hypercalcemia or bone metastases of cancer , inhibit the enzyme farnesyl diphosphate ( FPP ) synthase , which is the rate determining enzyme in the mevalonate pathway [ 24 ] .	PMC8396358	
CD19	Protein				P15391			transformed follicular lymphoma	Protein			uniprot	A2A288			positive	I	NONE			cl:CL:0000084					CD19 directed CAR T-cells have been remarkably successful in treating patients with relapsed / refractory ( R/R ) diffuse large B-cell lymphoma ( DLBCL ) and transformed follicular lymphoma ( t-FL ) .	PMC8428364	
Tr1	Protein				O00300			FoxP3	Protein			uniprot	B7ZLG1			positive	I	NONE			cl:CL:0000815 ++++ cl:CL:0000903 ++++ cl:CL:0000911		uberon:UBERON:0002370			These can be antigen specific effector T cells induced to express FoxP3 , or type 1 Treg ( Tr1 ) cells that are FoxP3 , express surface LAG-3 ( CD223 ) and CD49b , and secrete IL-10 ( 42 , 43 ) .	PMC5868074	
TLR5	Protein				O60602			FOXP3	Protein			uniprot	B7ZLG1			negative	I	NONE			cl:CL:0000815					In humans , both TLR2 ligand Pam3CSK4 and a TLR2/6 heterodimer ligand FSL-1 reduced the suppressive function of na ï ve ( CD4 CD25 FOXP3 CD45RA ) and memory / effector ( CD4 CD25 FOXP3 CD45RA ) Tregs , by skewing them toward a Th17 effector phenotype.64 Another study found that engagement of TLR2 on human CD4 CD25 Tregs caused a reduction in Treg mediated suppression of responder T-cells.73 Conversely , a TLR5 ligand delivered with anti-CD3 activation enhanced suppressive activity and expression of the Treg associated transcription factor FOXP3 in human CD4 CD25 T regulatory cells .	PMC8606765	
TLR2	Protein				O60603			FOXP3	Protein			uniprot	B7ZLG1			positive	I	NONE			cl:CL:0000815					In humans , both TLR2 ligand Pam3CSK4 and a TLR2/6 heterodimer ligand FSL-1 reduced the suppressive function of na ï ve ( CD4 CD25 FOXP3 CD45RA ) and memory / effector ( CD4 CD25 FOXP3 CD45RA ) Tregs , by skewing them toward a Th17 effector phenotype.64 Another study found that engagement of TLR2 on human CD4 CD25 Tregs caused a reduction in Treg mediated suppression of responder T-cells.73 Conversely , a TLR5 ligand delivered with anti-CD3 activation enhanced suppressive activity and expression of the Treg associated transcription factor FOXP3 in human CD4 CD25 T regulatory cells .	PMC8606765	
CD4	Protein				P01730			FoxP3	Protein			uniprot	B7ZLG1			positive	I	Transcription			cl:CL:0000815 ++++ mesh:D018414 ++++ cl:CL:0000911					FoxP3 is an intracellular marker and can be transiently expressed by activated CD4 and CD8 T cells .	PMC5868074	
CD70	Protein				P32970.t			Foxp3	Protein			uniprot	B7ZLG1			positive	I	Transcription			cl:CL:0000084 ++++ cl:CL:0000911 ++++ cl:CL:0001063					TGF-β upregulates CD70 expression on effector T cells , while it preferentially induces Foxp3 expression in naive T cells.28 TGF-β signaling could upregulate the expression of SPHK1 on T cells and further inhibit T-cell activation by mediating the SPHK1-S1P-PPAR γ signaling axis.19 Activation of S1PR3 via the TGF-β/SMAD3 signaling pathway could also directly induce lung cancer progression and metastasis , indicating some connection between S1PR3 and TGF-β .11 In our study , we demonstrated that the expression of S1PR3 in solid tumors was positively correlated with the immunosuppressive cytokines IL-10 and TGF-β .	PMC10441059	
CAR	Protein				P36575			Foxp3	Protein			uniprot	B7ZLG1			positive	I	Transcription			cl:CL:0000815 ++++ cl:CL:0000911					ANS8 CAR Tregs proliferated in response to FVIII and also concomitantly upregulated Foxp3 expression .	PMC5613123	
OX40	Protein				P43489	Other	sl-0310	FoxP3	Protein			uniprot	B7ZLG1	Other	sl-0310	negative	I	Transcription			mesh:D015496 ++++ cl:CL:0000815 ++++ mesh:D018414 ++++ cl:CL:0000451 ++++ cl:CL:0000899 ++++ cl:CL:0000084		uberon:UBERON:4300023			45 Since OX40 lacks the YMXM PI3K binding site of CD28 and ICOS , it is not clear whether OX40 activates PI3K directly or indirectly.45 OX40 costimulation antagonises the activation and development of natural and inducible Tregs via suppression of CTLA4 , TGF ‐ β and FoxP3 expression.45 , 47 Addition of a OX40 endodomain to a second ‐ generation CD28 ‐ costimulated CAR led to reduced CD28 ‐ mediated IL ‐ 10 secretion by CD4 T cells , without altering expression of other pro ‐ inflammatory cytokines .	PMC6511336	
OX40	Protein				P43489	Other	sl-0310	FoxP3	Protein			uniprot	B7ZLG1	Other	sl-0310	negative	I	Transcription			mesh:D015496 ++++ cl:CL:0000815 ++++ mesh:D018414 ++++ cl:CL:0000451 ++++ cl:CL:0000899 ++++ cl:CL:0000084		uberon:UBERON:4300023			45 Since OX40 lacks the YMXM PI3K binding site of CD28 and ICOS , it is not clear whether OX40 activates PI3K directly or indirectly.45 OX40 costimulation antagonises the activation and development of natural and inducible Tregs via suppression of CTLA4 , TGF ‐ β and FoxP3 expression.45 , 47 Addition of a OX40 endodomain to a second ‐ generation CD28 ‐ costimulated CAR led to reduced CD28 ‐ mediated IL ‐ 10 secretion by CD4 T cells , without altering expression of other pro ‐ inflammatory cytokines .	PMC6511336	
CD39	Protein				P49961			FOXP3	Protein			uniprot	B7ZLG1			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000815					CD39 also enhances the immunosuppressive effects of regulatory CD4+ CD25+ forkhead box P+ ( FOXP3 ) T cells [ 29 ] .	PMC9141239	
Helios	Protein				Q9UKS7			Foxp3	Protein			uniprot	B7ZLG1			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000815 ++++ cl:CL:0000902					It has been shown that Helios enhances Treg cell function in cooperation with Foxp3 .	PMC9522664	
IL-8	Protein				P10145			angiogenesis	Biological Process			go	GO:0001525			positive	I	NONE		cellosaurus:CVCL_W527	cl:CL:0001064 ++++ cl:CL:0009002					Further , IL-8 supports tumor angiogenesis through induction of endothelial cell proliferation and migration , as well as through recruitment of inflammatory cells that release pro angiogenic factors .	PMC7872024	
cGAS	Protein				Q8N884			DNA repair	Biological Process			go	GO:0006281			negative	I	NONE			uaz:UAZ54C2A063656C6C73					Recent studies reported that nuclear cGAS is a general inhibitor of DNA repair and prevents homology directed DNA repair through direct condensation of genomic DNA.66 67 In particular , this may explain the synergy between cGAS directed DNA sensor inhibition and HDR enhancers observed in our experiments .	PMC9062427	
RNA polymerase II subunit A	Protein				P24928	Other	sl-0468	transcription	Biological Process			go	GO:0006351	Other	sl-0468	negative	I	NONE					uberon:UBERON:0000970			HDP-101 , an anti-BCMA conjugated with α-amantin , interferes with RNA polymerase II subunit A , thus inhibiting cellular transcription .	PMC9820921	
eIF3	Protein				Q14152			translation initiation	Biological Process			go	GO:0006413			positive	I	NONE		cellosaurus:CVCL_BT01	cl:CL:0000542 ++++ cl:CL:0000084					Additionally , nearly inactive eIF3 in quiescent T cells is activated to form translation initiation complexes in the first few hours after stimulation ( Miyamoto et al ., 2005 ) .	PMC8758144	
SGK1	Protein				O00141			apoptosis	Biological Process			go	GO:0006915			negative	I	NONE			cl:CL:0000236					The inhibition of SGK1 can induce apoptosis of NLPHL cell line DEV , which highlights the potential value of SGK1 in the treatment of NLPHL .	PMC9841868	
TRAIL-R1	Protein				O00220			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0001064					In a previous report , we have presented a fully human monoclonal agonistic antibody targeting TRAIL-R1 ( TR1 ) , which could strongly induce apoptosis in a wide range of TRAIL-R1 – expressing cancer cell lines , in the presence of crosslinking antibodies ( Jin et al ., 2009 ; Jin et al ., 2010 ) .	PMC8721281	
TR1	Protein				O00300	Other	sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	sl-0487	positive	I	NONE		cellosaurus:CVCL_0065 ++++ cellosaurus:CVCL_0546 ++++ cellosaurus:CVCL_7955	cl:CL:0000084 ++++ cl:CL:0001063 ++++ cl:CL:0001064					Target cell death was monitored using the RTCA based killing assay , and we found that TR1 -28 BB ζ and TR1 ∆ ζ-Jurkat cells could both efficiently induce SW480 tumor cell apoptosis in less than 24 h of coculturing . ++++ Target cell death was monitored using the RTCA based killing assay , and we found that TR1 -28 BB ζ and TR1 ∆ ζ-Jurkat cells could both efficiently induce SW480 tumor cell apoptosis in less than 24 h of coculturing . ++++ Our data confirmed that the TR1 -28 BB ζ CAR constructed with the scFv from the TR1 antibody could directly mediate tumor cell apoptosis by binding with its antigen without the need of additional crosslinking structures . ++++ In a previous report , we have presented a fully human monoclonal agonistic antibody targeting TRAIL-R1 ( TR1 ) , which could strongly induce apoptosis in a wide range of TRAIL-R1 – expressing cancer cell lines , in the presence of crosslinking antibodies ( Jin et al ., 2009 ; Jin et al ., 2010 ) .	PMC8721281	
killer	Protein				O14763	Other	sl-0158	apoptosis	Biological Process			go	GO:0006915	Other	sl-0158	positive	I	NONE					uberon:UBERON:0001130			Antibody-drug conjugates also bind with FcyIIa receptors in natural killer ( NK ) cells , inducing ADCC , which directly causes MM cell apoptosis .	PMC9317279	
CD262	Protein				O14763	Other	sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	sl-0487	positive	I	NONE		cellosaurus:CVCL_2142	cl:CL:0000623 ++++ cl:CL:0000738					By binding to the tumor necrosis factor ( TNF )-related apoptosis inducing ligand ( TRAIL ) , CD262 can induce NK mediated apoptosis .	PMC8145105	
DR5	Protein				O14763			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0000623		uberon:UBERON:0000468			DR5 Agonist Antibody targeting the TRAIL-TNF axis , which promotes tumor specific apoptosis , is evaluated in a Phase II study of chondrosarcomas ( NCT04950075 ) .	PMC10052453	
c-FLIP	Protein				O15519			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000084		uberon:UBERON:0002049			This study confirms the role of c-FLIP in promoting cell survival against CD95 induced apoptosis , but c-FLIP expression limited the cytotoxic potential of CAR T cells in vivo .	PMC9564159	
IFN-gamma	Protein				P01579	Other	sl-0431 ++++ uniprot:sl-0427	apoptosis	Biological Process			go	GO:0006915	Other	sl-0431 ++++ uniprot:sl-0427	positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063 ++++ cl:CL:0000623					CAR4 T-cell-derived IFN-gamma promotes tumor cell apoptosis .	PMC10368531	
CEA	Protein				P06731	Other	sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	sl-0487	positive	I	NONE		cellosaurus:CVCL_0065 ++++ cellosaurus:CVCL_1564 ++++ cellosaurus:CVCL_0632 ++++ cellosaurus:CVCL_1384	cl:CL:0000815 ++++ cl:CL:0001064 ++++ mesh:D015496 ++++ cl:CL:0000084					As summarized in Figure 6A , the CEA cancer cells differ significantly in their sensitivity towards FasL induced apoptosis , ranging from resistance ( SW948 ) , to intermediate ( LS174T ) , and to high susceptibility ( H508 ) .	PMC5615327	
Gal1	Protein				P09382	Other	sl-0111	apoptosis	Biological Process			go	GO:0006915	Other	sl-0111	positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:2000008 ++++ cl:CL:0000115 ++++ cl:CL:0000545 ++++ cl:CL:0000084		uberon:UBERON:0003891 ++++ uberon:UBERON:0000105			Earlier studies from both in vitro and in vivo experiments demonstrated an increase in extracellular Gal1 induced apoptosis in Th1 cells via its interaction with CD43 , CD45 and CD7 receptors , resulting in tumour induced immune evasion [ 199,200 ] . ++++ Th2 mediated cytokine response is more anti-inflammatory , and it was reported that Th2 secreted Gal1 selectively induces apoptosis of Th1 and promote Th2 cytokine secretion [ 205 ] . ++++ It was thought that Gal1 secreted from large tumours induces T cell apoptosis and switches to Th2 cytokine production . ++++ It was thought that Gal1 secreted from large tumours induces T cell apoptosis and switches to Th2 cytokine production .	PMC7408985	
galectin 1	Protein				P09382	Other	sl-0039	apoptosis	Biological Process			go	GO:0006915	Other	sl-0039	positive	I	NONE			cl:CL:0000084 ++++ mesh:D018414 ++++ cl:CL:0001064					Indeed , HL malignant cells express high levels of PDL1 and produce the immunosuppressive IL10 , TGF β , galectin 1 and prostaglandin E2 molecules , which inhibit T-cell effector functions and induce apoptosis of activated Th1 and CD8 T cells .	PMC8018158	
granzyme B	Protein				P10144			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000785 ++++ cl:CL:0000236 ++++ cl:CL:0000451 ++++ cl:CL:0000084					In Hu ’ s study [ 86 ] , DNTs interacted with B cells in a natural killer group 2-member D ( NKG2D )-NKG2D ligand dependent manner and released accumulated granzyme B , which accelerated B cell apoptosis and prevented the proliferation of B cells .	PMC8919567	
granzyme B	Protein				P10144	Other	go:0030141 ++++ uniprot:sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	go:0030141 ++++ uniprot:sl-0487	positive	I	NONE		cellosaurus:CVCL_1228 ++++ cellosaurus:CVCL_1415 ++++ cellosaurus:CVCL_3946 ++++ cellosaurus:CVCL_0372 ++++ cellosaurus:CVCL_0102 ++++ cellosaurus:CVCL_0100 ++++ cellosaurus:CVCL_5081 ++++ cellosaurus:CVCL_0101 ++++ cellosaurus:CVCL_1417	cl:CL:0000910 ++++ cl:CL:0000623 ++++ cl:CL:0000084					These data reveal that FOLR1-CAR activates T cell in a mechanism very similar to TCR reaction , and granzyme B , which is secreted by activated CAR T cells , induces apoptosis through the extrinsic pathway in target cells .	PMC5991383	
Bcl-2	Protein				P10415			apoptosis	Biological Process			go	GO:0006915			negative	I	NONE			mesh:D018414 ++++ cl:CL:0000084					Bcl-2 can reduce apoptosis and promote survival of both CD4 and CD8 T cells .	PMC7827522	
Bcl-2	Protein				P10415			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			mesh:D018414 ++++ cl:CL:0000084					Bcl-2 can reduce apoptosis and promote survival of both CD4 and CD8 T cells .	PMC7827522	
BCL-2	Protein				P10415			apoptosis	Biological Process			go	GO:0006915			negative	I	NONE			cl:CL:0001064					Cell intrinsic apoptosis is regulated by the complex interaction of three layers of BCL-2 family-member proteins : the pro apoptotic BH3-only proteins , BIM , BMF , PUMA , NOXA , BIK , BID , BAD and HRK , inhibit the pro survival proteins in response to cellular damage ; the pro survival BCL-2 family proteins , BCL-2 , BCL-XL , BCL-W , MCL-1 , and A1 , antagonise the effectors of apoptosis ; and downstream effectors of apoptosis , BAX and BAK [ 85,117 ] .	PMC8398498	
