Element 1 ID	Element 2 ID	STRING escore	STRING tscore	STRING dscore
Q9Y5U5	Q07011	0	745	0
Q9Y5U5	Q07011	0	745	0
Q9Y5U5	P01589	0	620	0
Q9Y5U5	P01589	0	620	0
Q9Y5U5	P43489	0	807	0
Q9Y5U5	P43489	0	807	0
P60568	P10747	0	956	0
P60568	P10747	0	956	0
P60568	O14836	0	405	0
P60568	O14836	0	405	0
Q9Y6Q6	P10747	0	152	0
Q9Y6Q6	P10747	0	152	0
P40763	Q9GZX6	0	837	900
P40763	Q9GZX6	0	837	900
P40763	Q9GZX6			
P40763	Q9GZX6			
P10747	Q8TDQ0	0	630	0
P10747	Q8TDQ0	0	630	0
P40763	Q9HBE5	0	737	900
P40763	Q9HBE5	0	737	900
P40763	Q9HBE5			
P05231	Q15672	0	658	0
P05231	Q15672	0	658	0
GO:0007155	P05362	IDA		
GO:0042113	P20273	IDA		
P15391	P20273	294	933	0
P15391	P20273	294	933	0
P20273	Q16568	0	567	0
P20273	Q16568	0	567	0
P26718	P20273	123	213	0
P26718	P20273	123	213	0
P15391	Q16568	0	795	0
P15391	Q16568	0	795	0
P20273	Q16568	0	567	0
P20273	Q16568	0	567	0
GO:0006915	P48023	TAS		
GO:0006915	P06731	IEA		
P09914	P08575	0	210	0
P09914	P08575	0	210	0
GO:0007155	P05107	IDA		
P41240	P04000	472	56	900
P41240	P04000	472	56	900
P19838	VAV	0	161	0
P19838	VAV	0	161	0
P09914	P08575	0	210	0
P09914	P08575	0	210	0
P10747	P09914	0	239	0
P10747	P09914	0	239	0
P16410	P09914	0	168	0
P16410	P09914	0	168	0
P16333	P43403	133	596	0
P16333	P43403	133	596	0
P16333	P43403	133	596	0
P16333	P43403	133	596	0
P19174	Q08881	472	383	900
P19174	Q08881	472	383	900
P19174	Q08881			
P19174	Q08881			
P19174	Q08881			
P19174	Q08881			
P19174	Q08881			
P15498	P43403	620	901	900
P15498	P43403	620	901	900
P15498	P43403	620	901	900
P15498	P43403	620	901	900
P43489	P23510	877	941	900
P43489	P23510	877	941	900
P43489	P23510			
P01375	P23510	0	606	0
P01375	P23510	0	606	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P10747	P04626	0	470	0
P10747	P04626	0	470	0
P04141	P21583	379	802	0
P04141	P21583	379	802	0
P08700	P21583	0	920	0
P08700	P21583	0	920	0
P43365	P43357	0	55	0
P43365	P43357	0	55	0
P09382	Q9UJV9	0	431	0
P09382	Q9UJV9	0	431	0
P40225	P10747	0	196	0
P40225	P10747	0	196	0
P60568	P09382	0	491	0
P60568	P09382	0	491	0
Q02223	O75888	379	640	900
Q02223	O75888	379	640	900
Q02223	O75888			
Q02223	Q9Y275	909	874	900
Q02223	Q9Y275	909	874	900
Q02223	Q9Y275			
GO:0006915	O14763	NAS		
P22301	P0C0P6	0	671	0
P22301	P0C0P6	0	671	0
P05089	P0C0P6	0	153	0
P05089	P0C0P6	0	153	0
P42574	P0C0P6	0	291	0
P42574	P0C0P6	0	291	0
GO:0006915	P48023	TAS		
GO:0006915	O15519	IMP		
GO:0006915	Q14790	IGI		
P51685	P22362	379	763	900
P51685	P22362	379	763	900
P51685	P22362			
Q9NZQ7	GO:0006955	IDA		
P08571	P04141	0	537	0
P08571	P04141	0	537	0
GO:0006955	P04141	IEA		
P01579	P15391	0	620	0
P01579	P15391	0	620	0
P12544	P16871	0	457	0
P12544	P16871	0	457	0
P10144	P16871	0	700	0
P10144	P16871	0	700	0
P10144	P01911	0	213	0
P10144	P01911	0	213	0
P01375	Q495A1	0	327	0
P01375	Q495A1	0	327	0
P60568	Q495A1	0	483	0
P60568	Q495A1	0	483	0
P60568	Q8TDQ0	0	811	0
P60568	Q8TDQ0	0	811	0
P01375	Q8TDQ0	0	744	0
P01375	Q8TDQ0	0	744	0
P15151	Q495A1	870	847	800
P15151	Q495A1	870	847	800
P22301	Q495A1	0	481	0
P22301	Q495A1	0	481	0
Q9UL17	Q15762	0	640	0
Q9UL17	Q15762	0	640	0
P01375	Q495A1	0	327	0
P01375	Q495A1	0	327	0
P32302	Q9Y6W8	0	686	0
P32302	Q9Y6W8	0	686	0
P32302	Q9Y6W8	0	686	0
P32302	Q9Y6W8	0	686	0
P43403	P06239	472	270	900
P43403	P06239	472	270	900
P43403	P06239			
P43403	P06239			
P43403	P06239			
P43403	P06239			
P06127	P09564	0	898	0
P06127	P09564	0	898	0
GO:0008283	P06127	NAS		
P01589	P06127	0	573	0
P01589	P06127	0	573	0
P01589	P09564	0	399	0
P01589	P09564	0	399	0
P06127	P09564	0	898	0
P06127	P09564	0	898	0
Q07108	P06127	0	760	0
Q07108	P06127	0	760	0
Q07108	P09564	0	398	0
Q07108	P09564	0	398	0
P09564	P06127	0	898	0
P09564	P06127	0	898	0
GO:0042110	P09564	TAS		
P01579	P06127	0	424	0
P01579	P06127	0	424	0
P01579	P09564	0	285	0
P01579	P09564	0	285	0
P11279	P06127	0	258	0
P11279	P06127	0	258	0
P11279	P09564	0	211	0
P11279	P09564	0	211	0
P06127	P09564	0	898	0
P06127	P09564	0	898	0
P09564	P06127	0	898	0
P09564	P06127	0	898	0
GO:0006955	P16410	TAS		
Q16568	P16410	0	710	0
Q16568	P16410	0	710	0
P15248	P35225	0	891	0
P15248	P35225	0	891	0
P15248	P05113	0	935	0
P15248	P05113	0	935	0
Q9BZW8	O14796	562	645	800
Q9BZW8	O14796	562	645	800
P09326	O14796	0	604	0
P09326	O14796	0	604	0
Q07011	P41273	877	935	900
Q07011	P41273	877	935	900
Q07011	P41273			
Q07011	P31944	0	326	0
Q07011	P31944	0	326	0
P15391	P11274	0	287	900
P15391	P11274	0	287	900
Q13422	Q9UKT9	725	89	0
Q13422	Q9UKT9	725	89	0
Q16568	Q07011	0	800	0
Q16568	Q07011	0	800	0
Q07817	P10747	0	724	0
Q07817	P10747	0	724	0
P04637	P09564	0	284	0
P04637	P09564	0	284	0
P09326	P26842	0	358	0
P09326	P26842	0	358	0
P09326	P32970	0	211	0
P09326	P32970	0	211	0
Q8IXH7	O00182	0	260	0
Q8IXH7	O00182	0	260	0
Q8TDQ0	O00182	260	953	900
Q8TDQ0	O00182	260	953	900
Q8TDQ0	O00182			
Q8IXH7	O00182	0	260	0
Q8IXH7	O00182	0	260	0
Q07108	O00182	0	262	0
Q07108	O00182	0	262	0
P22301	O00182	0	543	0
P22301	O00182	0	543	0
P60568	O00182	0	498	0
P60568	O00182	0	498	0
P05231	O00182	0	414	0
P05231	O00182	0	414	0
P26718	O00182	0	327	0
P26718	O00182	0	327	0
GO:0006954	O00182	IDA		
P11279	P05231	0	457	0
P11279	P05231	0	457	0
Q8TDQ0	O00182	260	953	900
Q8TDQ0	O00182	260	953	900
Q8TDQ0	O00182			
P48023	O00182	0	388	0
P48023	O00182	0	388	0
GO:0006915	P09382	IEA		
GO:0006935	P10145	TAS		
GO:0006955	P43489	TAS		
P60568	B7ZLG1	472	958	900
P60568	B7ZLG1	472	958	900
Q9NZQ7	P15391	0	668	0
Q9NZQ7	P15391	0	668	0
P54760	P52799	784	962	900
P54760	P52799	784	962	900
P46109	P54760	262	125	0
P46109	P54760	262	125	0
O00585	P10721	0	250	0
O00585	P10721	0	250	0
P15391	Q8WV28	0	560	900
P15391	Q8WV28	0	560	900
P60568	O14543	0	711	900
P60568	O14543	0	711	900
Q13191	P29350	123	138	0
Q13191	P29350	123	138	0
Q04864	Q96FA3	299	612	0
Q04864	Q96FA3	299	612	0
Q13191	P10747	0	212	0
Q13191	P10747	0	212	0
Q13191	P29350	123	138	0
Q13191	P29350	123	138	0
P06241	P41240	472	155	900
P06241	P41240	472	155	900
P06241	P41240	472	155	900
P06241	P41240	472	155	900
P06239	P41240	379	147	900
P06239	P41240	379	147	900
P06239	P41240			
P06239	P41240	379	147	900
P06239	P41240	379	147	900
P06239	P41240			
P01730	P28907	336	388	0
P01730	P28907	336	388	0
P01730	P25942	0	397	0
P01730	P25942	0	397	0
P25942	P41597	0	571	0
P25942	P41597	0	571	0
P05231	O43602	0	315	0
P05231	O43602	0	315	0
P05231	P25942	0	893	0
P05231	P25942	0	893	0
P10145	P25942	0	688	0
P10145	P25942	0	688	0
Q9NZQ7	P05231	0	675	0
Q9NZQ7	P05231	0	675	0
Q07011	P10747	0	807	0
Q07011	P10747	0	807	0
Q07108	P60033	0	347	0
Q07108	P60033	0	347	0
O14763	P05112	0	286	0
O14763	P05112	0	286	0
Q6UVK1	P01375	0	189	0
Q6UVK1	P01375	0	189	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P35968	P15692	472	987	900
P35968	P15692	472	987	900
P35968	P15692			
P35968	P15692			
P35968	P15692			
P35968	P15692			
P35968	P15692			
P01588	P29317	0	543	0
P01588	P29317	0	543	0
P10747	P15391	0	793	0
P10747	P15391	0	793	0
P10747	P16410	0	270	900
P10747	P16410	0	270	900
P20963	P10747	379	707	900
P20963	P10747	379	707	900
P33681	P16410	882	968	900
P33681	P16410	882	968	900
P33681	P16410			
P33681	P16410			
P60568	P10747	0	956	0
P60568	P10747	0	956	0
P60568	P16410	0	962	0
P60568	P16410	0	962	0
Q8TDQ0	P01375	0	744	0
Q8TDQ0	P01375	0	744	0
Q9HD36	P10415	379	126	0
Q9HD36	P10415	379	126	0
Q07817	P10415	912	101	900
Q07817	P10415	912	101	900
Q16548	P10415	0	147	900
Q16548	P10415	0	147	900
Q07820	P10415	379	239	900
Q07820	P10415	379	239	900
GO:0006915	P10415	IDA		
GO:0006915	P10415	IDA		
P31944	P10415	168	62	0
P31944	P10415	168	62	0
P35225	P01730	0	410	0
P35225	P01730	0	410	0
P35225	P10144	0	555	0
P35225	P10144	0	555	0
P35225	P10145	0	839	900
P35225	P10145	0	839	900
P15391	P60568	0	800	0
P15391	P60568	0	800	0
Q06187	P11274	63	266	900
Q06187	P11274	63	266	900
P50591	P01375	0	710	0
P50591	P01375	0	710	0
GO:0006915	O14763	NAS		
Q02223	Q16568	0	347	0
Q02223	Q16568	0	347	0
Q07011	Q16568	0	800	0
Q07011	Q16568	0	800	0
